area_name,area_code,date,new_cases,total_cases,cases_proportion,cases_density(Number per km2),small_business_number_2020_thousand,small_businesses_density,small_businesses_food_thousand,median_income_2012_thousand,population_thousand,Square_Kilometres,Population_density_thousand,"Proportion_of_population_of_working-age,_2015",Employment_rate_2020,Average_house_price_2020_thousand
Barking and Dagenham,E09000002,2021/7/31,53,26653,0.12,738.31,8.1,0.22,0.3,20.1,218.37,36.1,6.05,63.1,83.9,301
Barnet,E09000003,2021/7/31,101,37706,0.09,434.90,25.8,0.30,1.1,29.5,407.15,86.7,4.7,64.9,90.8,524
Bexley,E09000004,2021/7/31,60,26952,0.11,444.75,9.8,0.16,0.4,25.5,254.97,60.6,4.21,62.9,79.5,341
Brent,E09000005,2021/7/31,118,34765,0.1,804.75,17,0.39,0.8,24.3,343.85,43.2,7.96,67.8,85.6,477
Bromley,E09000006,2021/7/31,87,30663,0.09,204.28,16.7,0.11,0.6,29.6,336.4,150.1,2.24,62.6,88.2,434
Camden,E09000007,2021/7/31,83,19481,0.08,893.62,35.7,1.64,1.2,31.3,257.38,21.8,11.81,71,90.4,834
Croydon,E09000008,2021/7/31,120,38287,0.1,442.62,17.1,0.20,0.9,26.5,400.27,86.5,4.63,64.9,91.7,372
Ealing,E09000009,2021/7/31,121,38254,0.11,689.26,19.3,0.35,0.6,27.2,361.83,55.5,6.52,66.8,88.4,479
Enfield,E09000010,2021/7/31,67,34165,0.1,422.83,14.9,0.18,1.1,25.1,342.99,80.8,4.24,64.4,88.7,393
Greenwich,E09000011,2021/7/31,100,27865,0.1,589.11,11.6,0.25,0.5,23,292.47,47.3,6.18,67.7,89.8,395
Hackney and City of London,E09000012,2021/7/31,91,28193,0.09,1287.35,49.2,2.25,1.2,32.4,297.53,21.9,13.59,72.6,87.2,705
Hammersmith and Fulham,E09000013,2021/7/31,70,18116,0.09,1104.63,14,0.85,0.6,30.6,190.72,16.4,11.63,72.3,88.9,716
Haringey,E09000014,2021/7/31,74,26086,0.09,881.28,13.7,0.46,0.7,24.8,288.91,29.6,9.76,70.7,93.6,554
Harrow,E09000015,2021/7/31,73,25214,0.1,499.29,16,0.32,0.7,28.6,261.35,50.5,5.18,64.5,79,451
Havering,E09000016,2021/7/31,79,31178,0.12,277.63,11.6,0.10,0.4,25.7,261.83,112.3,2.33,62.3,87.1,370
Hillingdon,E09000017,2021/7/31,80,32609,0.1,281.84,15.5,0.13,0.5,26.9,316.25,115.7,2.73,65.6,87.8,408
Hounslow,E09000018,2021/7/31,60,29891,0.11,533.77,14.7,0.26,0.5,26.6,284.36,56,5.08,67.6,88.9,406
Islington,E09000019,2021/7/31,67,20694,0.09,1388.86,22.7,1.52,1,27.7,242.83,14.9,16.3,75.3,90.4,664
Kensington and Chelsea,E09000020,2021/7/31,50,12329,0.08,1018.93,15.6,1.29,0.5,37,160.79,12.1,13.29,69.3,96.5,1319
Kingston upon Thames,E09000021,2021/7/31,46,15414,0.08,413.24,9.9,0.27,0.4,31.4,182.73,37.3,4.9,67.2,89.4,491
Lambeth,E09000022,2021/7/31,107,33460,0.1,1248.51,15.6,0.58,0.7,26.8,340.32,26.8,12.7,74.6,92.9,526
Lewisham,E09000023,2021/7/31,89,28034,0.09,798.69,11.3,0.32,0.6,24.4,317.47,35.1,9.04,70.1,91.9,418
Merton,E09000024,2021/7/31,64,20132,0.09,535.43,12.4,0.33,0.4,29.3,212.66,37.6,5.66,67.2,88.7,518
Newham,E09000025,2021/7/31,112,41171,0.11,1137.32,14,0.39,0.6,18,363.55,36.2,10.04,70.2,89.7,374
Redbridge,E09000026,2021/7/31,93,37680,0.12,668.09,15.6,0.28,0.8,26.6,312.26,56.4,5.54,65,82.2,420
Richmond upon Thames,E09000027,2021/7/31,41,14792,0.07,257.70,14.5,0.25,1,36.1,201.71,57.4,3.51,64.5,90.6,679
Southwark,E09000028,2021/7/31,97,30276,0.09,1047.61,18.5,0.64,0.8,25,330.29,28.9,11.43,73.5,92.2,507
Sutton,E09000029,2021/7/31,52,19850,0.09,453.20,9.5,0.22,0.4,27.5,211.3,43.8,4.82,64.3,86.9,375
Tower Hamlets,E09000030,2021/7/31,93,36264,0.11,1831.52,19.1,0.96,0.9,23,328.04,19.8,16.57,73.9,96.3,454
Waltham Forest,E09000031,2021/7/31,73,30224,0.1,778.97,12.8,0.33,0.6,23,290.02,38.8,7.47,67.9,91.8,444
Wandsworth,E09000032,2021/7/31,92,31201,0.09,909.65,18.7,0.55,0.6,32.8,332.73,34.3,9.7,72.8,94.8,604
Westminster,E09000033,2021/7/31,49,19271,0.07,896.33,57.1,2.66,1.9,33.2,259.98,21.5,12.09,72.3,94.6,972
