area_name,area_code,total_cases_thousand,cases_density(Number per km2),infectious_rate,small_businesses_density,median_income_2012_thousand,Population_density_thousand,"Proportion_of_population_of_working-age,_2015",Employment_rate_2020,Average_house_price_2020_thousand,population_thousand,small_business_number_2020_thousand
Barking and Dagenham,E09000002,26.653,738.31,0.12,0.22,20.1,6.05,63.1,83.9,301,218.37,8.1
Barnet,E09000003,37.706,434.9,0.09,0.3,29.5,4.7,64.9,90.8,524,407.15,25.8
Bexley,E09000004,26.952,444.75,0.11,0.16,25.5,4.21,62.9,79.5,341,254.97,9.8
Brent,E09000005,34.765,804.75,0.1,0.39,24.3,7.96,67.8,85.6,477,343.85,17
Bromley,E09000006,30.663,204.28,0.09,0.11,29.6,2.24,62.6,88.2,434,336.4,16.7
Camden,E09000007,19.481,893.62,0.08,1.64,31.3,11.81,71,90.4,834,257.38,35.7
Croydon,E09000008,38.287,442.62,0.1,0.2,26.5,4.63,64.9,91.7,372,400.27,17.1
Ealing,E09000009,38.254,689.26,0.11,0.35,27.2,6.52,66.8,88.4,479,361.83,19.3
Enfield,E09000010,34.165,422.83,0.1,0.18,25.1,4.24,64.4,88.7,393,342.99,14.9
Greenwich,E09000011,27.865,589.11,0.1,0.25,23,6.18,67.7,89.8,395,292.47,11.6
Hackney and City of London,E09000012,28.193,1287.35,0.09,2.25,32.4,13.59,72.6,87.2,705,297.53,49.2
Hammersmith and Fulham,E09000013,18.116,1104.63,0.09,0.85,30.6,11.63,72.3,88.9,716,190.72,14
Haringey,E09000014,26.086,881.28,0.09,0.46,24.8,9.76,70.7,93.6,554,288.91,13.7
Harrow,E09000015,25.214,499.29,0.1,0.32,28.6,5.18,64.5,79,451,261.35,16
Havering,E09000016,31.178,277.63,0.12,0.1,25.7,2.33,62.3,87.1,370,261.83,11.6
Hillingdon,E09000017,32.609,281.84,0.1,0.13,26.9,2.73,65.6,87.8,408,316.25,15.5
Hounslow,E09000018,29.891,533.77,0.11,0.26,26.6,5.08,67.6,88.9,406,284.36,14.7
Islington,E09000019,20.694,1388.86,0.09,1.52,27.7,16.3,75.3,90.4,664,242.83,22.7
Kensington and Chelsea,E09000020,12.329,1018.93,0.08,1.29,37,13.29,69.3,96.5,1319,160.79,15.6
Kingston upon Thames,E09000021,15.414,413.24,0.08,0.27,31.4,4.9,67.2,89.4,491,182.73,9.9
Lambeth,E09000022,33.46,1248.51,0.1,0.58,26.8,12.7,74.6,92.9,526,340.32,15.6
Lewisham,E09000023,28.034,798.69,0.09,0.32,24.4,9.04,70.1,91.9,418,317.47,11.3
Merton,E09000024,20.132,535.43,0.09,0.33,29.3,5.66,67.2,88.7,518,212.66,12.4
Newham,E09000025,41.171,1137.32,0.11,0.39,18,10.04,70.2,89.7,374,363.55,14
Redbridge,E09000026,37.68,668.09,0.12,0.28,26.6,5.54,65,82.2,420,312.26,15.6
Richmond upon Thames,E09000027,14.792,257.7,0.07,0.25,36.1,3.51,64.5,90.6,679,201.71,14.5
Southwark,E09000028,30.276,1047.61,0.09,0.64,25,11.43,73.5,92.2,507,330.29,18.5
Sutton,E09000029,19.85,453.2,0.09,0.22,27.5,4.82,64.3,86.9,375,211.3,9.5
Tower Hamlets,E09000030,36.264,1831.52,0.11,0.96,23,16.57,73.9,96.3,454,328.04,19.1
Waltham Forest,E09000031,30.224,778.97,0.1,0.33,23,7.47,67.9,91.8,444,290.02,12.8
Wandsworth,E09000032,31.201,909.65,0.09,0.55,32.8,9.7,72.8,94.8,604,332.73,18.7
Westminster,E09000033,19.271,896.33,0.07,2.66,33.2,12.09,72.3,94.6,972,259.98,57.1
